Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Guam,US,2020-03-15T18:20:19,3,0,0,13.4443,144.7937
Puerto Rico,US,2020-03-14T18:33:03,5,0,0,18.2208,-66.5901
Wyoming,US,2020-03-15T02:53:03,3,0,0,42.756,-107.3025
blank,Ukraine,2020-03-13T22:22:02,3,1,0,48.3794,31.1656
Channel Islands,United Kingdom,2020-03-15T18:20:19,3,0,0,49.3723,-2.3644
blank,Aruba,2020-03-13T23:53:03,2,0,0,12.5211,-69.9683
blank,Burkina Faso,2020-03-13T22:22:02,3,0,0,12.2383,-1.5616
blank,Cameroon,2020-03-13T22:22:02,2,0,0,3.848,11.5021
New Brunswick,Canada,2020-03-15T01:53:02,2,0,0,46.5653,-66.4619
Saskatchewan,Canada,2020-03-14T00:13:05,2,0,0,52.9399,-106.4509
blank,Congo (Kinshasa),2020-03-13T22:22:02,2,0,0,-4.0383,21.7587
St Martin,France,2020-03-14T16:33:03,2,0,0,18.0708,-63.0501
blank,Jersey,2020-03-14T16:33:03,2,0,0,49.19,-2.11
blank,Kosovo,2020-03-15T18:20:19,2,0,0,42.6026,20.903
blank,Monaco,2020-03-14T23:13:05,2,0,0,43.7384,7.4246
blank,Namibia,2020-03-14T16:33:03,2,0,0,-22.9576,18.4904
blank,Nigeria,2020-03-13T22:22:02,2,0,0,9.082,8.6753
blank,Seychelles,2020-03-15T07:33:03,2,0,0,-4.6796,55.492
blank,Trinidad and Tobago,2020-03-14T16:15:01,2,0,0,10.6918,-61.2225
blank,Andorra,2020-03-13T22:22:02,1,0,1,42.5063,1.5218
blank,Antigua and Barbuda,2020-03-15T18:20:19,1,0,0,17.0608,-61.7964
Australian Capital Territory,Australia,2020-03-14T01:53:03,1,0,0,-35.4735,149.0124
Northern Territory,Australia,2020-03-14T01:53:03,1,0,0,-12.4634,130.8456
blank,Bhutan,2020-03-13T22:22:02,1,0,0,27.5142,90.4336
Newfoundland and Labrador,Canada,2020-03-15T02:13:21,1,0,0,53.1355,-57.6604
Prince Edward Island,Canada,2020-03-15T02:13:21,1,0,0,46.5107,-63.4168
blank,Cayman Islands,2020-03-13T12:33:03,1,0,0,19.3133,-81.2546
blank,Central African Republic,2020-03-15T18:20:19,1,0,0,6.6111,20.9394
Tibet,China,2020-03-11T02:18:14,1,0,1,31.6927,88.0924
blank,Congo (Brazzaville),2020-03-15T18:20:19,1,0,0,-4.0383,21.7587
blank,Cote d'Ivoire,2020-03-13T22:22:02,1,0,0,7.54,-5.5471
blank,Curacao,2020-03-14T16:15:18,1,0,0,12.1696,-68.99
